date	title	slug	audience
2026-06-18	The Whole Market, In My Pocket	the-whole-market-in-my-pocket	everyone
2026-06-17	The Anthropic Principle of a $2.5 Trillion Rocket	the-anthropic-principle-of-a-25-trillion	only_paid
2026-06-16	Practical AI - Cliff Notes of All the AI Manuals	practical-ai-cliff-notes-of-all-the	everyone
2026-06-14	While Everyone Chased the SpaceX IPO, the Value Funds Quietly Dumped Google	while-everyone-chased-the-spacex	everyone
2026-06-11	The Machine Found Four Small Cap Multi-Baggers & One I'd Run From	the-machine-found-four-small-cap	only_paid
2026-06-11	Just a man and his grandma	just-a-man-and-his-grandma	everyone
2026-06-10	$CVS Isn't Walgreens. The Chart Is About to Prove It.	cvs-isnt-walgreens-the-chart-is-about	everyone
2026-06-10	Built on TradingView. Three Doors Into the Market, One of Them Free.	built-on-tradingview-three-doors	everyone
2026-06-09	The One Chart That Calls CPI Tomorrow	the-one-chart-that-calls-cpi-tomorrow	everyone
2026-06-09	A Member's Account Is Up 69%. We Built the Tools He Used.	a-members-account-is-up-69-we-built	everyone
2026-06-08	How to Lose Money on the SpaceX IPO While Being Completely Right	how-to-lose-money-on-the-spacex-ipo	only_paid
2026-06-07	Beautiful Sunday, Market Closed, Account Open	beautiful-sunday-market-closed-account	only_paid
2026-06-06	Somebody Is Buying CoreWeave Hand Over Fist While Everyone Else Loses Their Mind	somebody-is-buying-coreweave-hand	everyone
2026-06-05	Day 1 of The Phund Presidency: How an AI and a Human Fought Three Robots to Buy One Share	day-1-of-the-phund-presidency-how	everyone
2026-06-05	The Phund Presidency: One Stock a Day, 4% at a Time	the-phund-presidency-one-stock-a	everyone
2026-06-04	Live with Tron & mphinance	live-with-tron-and-mphinance	everyone
2026-06-03	I Gave a Robot a To-Do List and Went to Bed	i-gave-a-robot-a-to-do-list-and-went	everyone
2026-06-03	They're Calling For A Crash. They're Still Buying The Chips.	theyre-calling-for-a-crash-theyre	only_paid
2026-05-29	Deep Dive Any Stock Ticker	deep-dive-any-stock-ticker	only_paid
2026-05-26	Recovery For Traders - Day 1	recovery-for-traders-day-1	everyone
2026-05-25	She's Six Months Ahead Of Me. I'm One Thing Ahead Of Her.	shes-six-months-ahead-of-me-im-one	everyone
2026-05-25	Four Days, Eight Puts, One Holiday Week	four-days-eight-puts-one-holiday	only_paid
2026-05-24	I Built a Thing to Tell Me What to Write Next	i-built-a-thing-to-tell-me-what-to	everyone
